City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Jamestown,20,US,45,42.097,-79.2353,66.2,3.44
Hualmay,96,PE,77,-11.0964,-77.6139,72.36,10.18
Amudat,77,UG,68,1.95,34.95,72.19,2.46
Barrow,20,US,71,71.2906,-156.7887,-2.2,9.22
Hosdurga,29,IN,52,13.7981,76.2861,74.37,2.71
Gayny,100,RU,90,60.3071,54.3241,32.45,5.26
Karratha,5,AU,53,-20.7377,116.8463,80.42,7.4
Prescott,1,US,6,34.54,-112.4685,73.0,9.22
Iqaluit,75,CA,92,63.7506,-68.5145,15.8,11.5
Bengkulu,76,ID,86,-3.8004,102.2655,73.69,4.25
Towada,75,JP,87,40.6127,141.2067,37.4,1.14
Yellowknife,90,CA,73,62.456,-114.3525,19.4,14.97
Basco,100,PH,73,20.4487,121.9702,73.15,20.67
Kavieng,100,PG,80,-2.5744,150.7967,80.2,7.09
Ancud,40,CL,94,-41.8697,-73.8203,55.99,12.66
Aykhal,100,RU,95,66.0,111.5,23.58,6.44
Hobart,20,AU,77,-42.8794,147.3294,57.2,6.91
Padang,20,ID,94,-0.9492,100.3543,75.2,2.3
Fairbanks,1,US,67,64.8378,-147.7164,15.01,3.44
Kiryat Gat,85,IL,48,31.61,34.7642,69.01,2.17
Caravelas,2,BR,69,-17.7125,-39.2481,74.88,4.81
Atuona,81,PF,77,-9.8,-139.0333,81.05,10.58
Saint Paul Harbor,1,US,48,57.79,-152.4072,41.0,13.8
Bhakkar,0,PK,67,31.6253,71.0657,63.97,5.23
Avarua,90,CK,65,-21.2078,-159.775,82.4,13.8
Carutapera,68,BR,83,-1.195,-46.02,77.99,7.81
Vernon,91,CA,25,50.2581,-119.2691,64.0,3.44
Saldanha,3,ZA,72,-33.0117,17.9442,60.8,4.61
Knysna,90,ZA,100,-34.0363,23.0471,55.4,6.91
Havøysund,75,NO,86,70.9963,24.6622,33.8,9.22
Mahébourg,75,MU,94,-20.4081,57.7,77.0,3.44
Buritizeiro,99,BR,77,-17.3511,-44.9622,71.92,3.27
Tarakan,77,ID,85,3.3,117.6333,77.4,5.73
Kaitangata,100,NZ,68,-46.2817,169.8464,57.33,4.59
Aksu,99,CN,43,41.1231,80.2644,50.25,6.38
Albany,20,US,23,42.6001,-73.9662,64.4,8.05
Zhenlai,0,CN,19,45.8495,123.2973,34.07,7.47
Viseu,70,PT,75,40.661,-7.9097,55.99,3.22
Mirador,81,BR,76,-6.3708,-44.3631,75.87,2.55
Nanortalik,100,GL,98,60.1432,-45.2371,34.52,12.33
Kingman,1,US,5,35.1894,-114.053,73.4,19.57
Batagay-Alyta,16,RU,92,67.8006,130.4114,-13.79,2.82
Kahului,40,US,53,20.8947,-156.47,78.8,18.41
Butaritari,100,KI,80,3.0707,172.7902,79.95,8.46
Sitka,90,US,87,57.0531,-135.33,35.6,8.05
Sechura,94,PE,59,-5.5569,-80.8222,80.78,12.48
Khatanga,99,RU,100,71.9667,102.5,-12.71,6.24
Tezu,9,IN,32,27.9167,96.1667,69.53,4.18
Longyearbyen,75,SJ,67,78.2186,15.6401,12.2,21.85
Jiaozuo,100,CN,52,35.2397,113.2331,56.77,2.13
Ishigaki,20,JP,68,24.3448,124.1572,68.0,14.97
Veracruz,75,MX,57,19.3333,-96.6667,82.4,8.05
Bowen,75,AU,94,-20.0167,148.2333,75.2,5.75
Codrington,12,AU,73,-38.2667,141.9667,58.75,6.35
Saint-Philippe,0,RE,69,-21.3585,55.7679,77.0,4.61
Emerald,90,AU,88,-23.5333,148.1667,73.4,14.97
Airai,77,TL,79,-8.9266,125.4092,64.74,0.56
Hithadhoo,98,MV,62,-0.6,73.0833,82.99,8.79
Acapulco de Juárez,20,MX,62,16.8634,-99.8901,86.0,11.5
Washington,16,US,26,47.5001,-120.5015,66.99,3.0
Kutum,0,SD,12,14.2,24.6667,74.34,7.74
Tuktoyaktuk,75,CA,77,69.4541,-133.0374,-7.6,10.36
Saint-Joseph,0,RE,69,-21.3667,55.6167,77.0,4.61
Bilibino,68,RU,86,68.0546,166.4372,-2.58,1.72
Goundam,0,ML,5,16.4145,-3.6708,82.9,9.71
Huanren,54,CN,33,41.2647,125.3667,43.3,7.05
Vaini,20,TO,69,-21.2,-175.2,80.6,10.36
Yārāda,20,IN,94,17.65,83.2667,77.0,2.3
Geraldton,60,AU,77,-28.7667,114.6,68.0,5.75
Broome,1,US,11,42.2506,-75.833,60.8,11.5
Bandarbeyla,84,SO,63,9.4942,50.8122,77.72,8.86
Ambon City,20,ID,83,-3.6954,128.1814,77.0,6.91
Saint-Pierre,0,RE,69,-21.3393,55.4781,77.0,4.61
Nikolskoye,0,RU,80,59.7035,30.7861,34.0,6.71
Horizontina,35,BR,92,-27.6258,-54.3078,62.55,0.81
Namatanai,100,PG,79,-3.6667,152.4333,81.52,4.25
Bethel,1,US,24,41.3712,-73.414,66.2,12.66
Jiayuguan City,0,CN,52,39.8167,98.3,40.3,2.24
Choma,4,ZM,68,-16.8065,26.9531,62.11,4.59
Krasnosel'kup,100,RU,98,65.7,82.4667,30.85,11.21
Pangnirtung,20,CA,72,66.1451,-65.7125,10.4,4.61
Itoman,20,JP,60,26.1247,127.6694,68.0,20.71
Tigil',69,RU,84,57.8,158.6667,19.33,9.28
Vao,93,NC,64,-22.6667,167.4833,75.74,14.47
Antalaha,95,MG,90,-14.9003,50.2788,75.49,4.36
Chicama,40,PE,88,-7.8447,-79.1469,69.8,11.5
Kavaratti,44,IN,75,10.5669,72.642,82.63,7.74
Cayenne,75,GF,100,4.9333,-52.3333,81.0,4.61
Saskylakh,100,RU,95,71.9167,114.0833,8.69,6.82
Cuxhaven,58,DE,70,53.8718,8.6909,37.4,17.27
Zhigansk,97,RU,99,66.7697,123.3711,-7.55,11.99
Tasiilaq,75,GL,86,65.6145,-37.6368,23.0,19.57
Araouane,0,ML,7,18.9048,-3.5265,81.82,7.7
Sawtell,90,AU,88,-30.3833,153.1,71.6,6.91
Sankheda,0,IN,36,22.1667,73.5833,80.64,2.39
Manali,20,IN,78,13.1667,80.2667,80.6,3.44
Deputatsky,84,RU,96,69.3,139.9,-7.91,1.45
Ferme-Neuve,100,CA,18,46.7001,-75.4493,59.0,3.44
Imbituba,75,BR,88,-28.24,-48.6703,69.8,2.3
Buchanan,75,LR,94,5.8808,-10.0467,78.8,0.92
Antofagasta,75,CL,82,-23.65,-70.4,64.4,14.97
Verkhnevilyuysk,100,RU,93,63.4453,120.3167,9.27,7.38
Freeport,1,US,16,40.6576,-73.5832,69.8,10.36
Harper,86,LR,87,4.375,-7.7169,80.06,3.98
Tomatlán,0,MX,37,19.9333,-105.25,84.43,8.77
Torrington,1,US,31,41.8007,-73.1212,66.2,11.5
Turtas,50,RU,95,58.9417,69.1325,28.49,7.18
Kleve,88,DE,94,51.7833,6.15,34.0,3.0
Katsina,2,NG,12,12.9894,7.6006,84.83,8.12
Chernyshevskiy,100,RU,95,63.0128,112.4714,27.66,4.63
Payo,92,ID,85,-3.7508,103.6372,70.02,1.92
Shonguy,0,RU,69,68.7526,33.146,32.0,11.18
Nyurba,100,RU,94,63.2842,118.3319,14.36,7.7
Chokurdakh,99,RU,78,70.6333,147.9167,-7.96,2.51
Kloulklubed,75,PW,89,7.0419,134.2556,80.6,4.61
Brae,90,GB,80,60.3964,-1.353,33.8,21.85
Mackay,90,AU,88,-21.15,149.2,80.01,5.75
Hasaki,20,JP,76,35.7333,140.8333,52.0,6.91
Bunia,100,CD,91,1.5667,30.25,64.67,1.45
Oktyabr'skoye,24,RU,81,43.0645,44.7417,37.4,6.71
Sola,100,VU,76,-13.8833,167.55,80.98,13.33
Pevek,100,RU,97,69.7008,170.3133,-13.95,6.26
Talnakh,98,RU,98,69.4865,88.3972,15.4,3.06
Miraflores,90,MX,26,19.2167,-98.8083,69.8,16.11
Sompeta,8,IN,82,18.9333,84.6,76.14,10.0
Kruisfontein,66,ZA,95,-34.0033,24.7314,55.99,1.99
Mumford,8,GH,88,5.2618,-0.759,80.4,7.72
Taoudenni,1,ML,12,22.6783,-3.9836,83.52,8.59
Klaksvík,75,FO,69,62.2266,-6.589,28.4,23.02
Provideniya,0,RU,61,64.3833,-173.3,8.6,6.71
Preobrazheniye,22,RU,42,42.9019,133.9064,41.79,8.81
Esperance,90,AU,100,-33.8667,121.9,64.4,5.75
Omboué,100,GA,90,-1.5746,9.2618,77.43,1.86
Ürümqi,0,CN,46,43.801,87.6005,51.8,8.95
Marawi,100,PH,87,7.9986,124.2928,75.99,5.01
Shache,100,CN,86,38.4167,77.2406,42.98,15.84
Pāsighāt,12,IN,39,28.0667,95.3333,68.9,3.65
Naze,20,JP,55,28.3667,129.4833,66.2,19.57
Arman',23,RU,74,59.7,150.1667,17.47,3.87
Poum,100,NC,72,-20.2333,164.0167,79.03,18.9
Torbay,90,CA,100,47.6666,-52.7314,37.0,11.5
Dhidhdhoo,20,MV,74,6.8833,73.1,82.56,6.17
Cherskiy,22,RU,86,68.75,161.3,-9.29,0.96
Harboøre,46,DK,83,56.6175,8.1807,39.0,23.15
Machilipatnam,34,IN,76,16.1667,81.1333,79.03,6.6
Raudeberg,94,NO,89,61.9875,5.1352,37.0,24.76
Terney,93,RU,55,45.0503,136.6092,39.51,12.12
Bemidji,1,US,28,47.4736,-94.8803,57.0,12.66
Salalah,0,OM,78,17.0151,54.0924,77.0,3.44
Upernavik,100,GL,92,72.7868,-56.1549,5.13,14.74
Thinadhoo,79,MV,60,0.5333,72.9333,83.66,7.05
Jiexiu,97,CN,57,37.0244,111.9125,52.77,3.58
Jacmel,75,HT,69,18.2342,-72.5347,82.4,10.36
Maxixe,26,MZ,74,-23.8597,35.3472,70.81,7.7
Lavrentiya,7,RU,78,65.5833,-171.0,4.91,1.81
Kununurra,60,AU,100,-15.7667,128.7333,75.2,1.5
Rensvik,75,NO,93,63.1,7.8167,33.8,1.14
Lopandino,100,RU,76,52.4666,34.8163,42.46,12.39
Kosh-Agach,3,RU,62,50.0,88.6667,18.1,5.28
Quartucciu,0,IT,76,39.2519,9.1794,53.6,8.05
Barsovo,75,RU,100,61.1667,73.1667,33.8,13.42
Lagoa,99,PT,82,39.05,-27.9833,60.06,6.08
Vallenar,0,CL,45,-28.5708,-70.7581,72.95,3.74
Sālūr,22,IN,72,18.5333,83.2167,75.63,2.66
Waingapu,99,ID,81,-9.6567,120.2641,77.88,2.86
Dhārchula,72,IN,41,29.85,80.5333,59.61,5.66
Beyneu,5,KZ,55,45.3167,55.2,46.38,8.55
Oriximiná,98,BR,75,-1.7656,-55.8661,80.8,2.66
Thompson,40,CA,52,55.7435,-97.8558,41.0,5.75
Praia,0,CV,36,14.9215,-23.5087,78.8,19.57
Savonlinna,75,FI,80,61.8699,28.88,33.8,16.11
Andilamena,90,MG,92,-17.0167,48.5833,66.67,5.64
Ginir,20,ET,74,7.1333,40.7,59.36,3.33
Superior,1,US,71,46.7208,-92.1041,59.0,6.91
Abalak,22,RU,95,58.1286,68.5944,29.19,6.98
Fare,62,PF,63,-16.7,-151.0167,80.15,10.98
Warwick,40,US,47,41.7001,-71.4162,55.4,14.97
Leh,100,IN,67,34.1667,77.5833,34.16,6.38
Samarai,85,PG,73,-10.6167,150.6667,83.82,11.68
Bintulu,20,MY,100,3.1667,113.0333,75.2,3.44
Cidreira,0,BR,81,-30.1811,-50.2056,73.33,15.19
Filingué,98,NE,5,14.3521,3.3168,89.2,6.35
Arrecife,20,ES,68,28.963,-13.5477,64.4,3.44
Tiksi,42,RU,96,71.6872,128.8694,-7.46,5.32
Carnarvon,70,AU,78,-24.8667,113.6333,75.2,11.5
Zhoucheng,100,CN,49,35.9122,116.3117,54.64,2.68
Fuxin,32,CN,14,42.0156,121.6589,40.32,12.57
Lugoba,100,TZ,98,-6.45,38.3333,70.68,3.36
Tromsø,90,NO,93,69.6496,18.957,32.0,21.85
Kearney,75,US,60,40.6995,-99.0815,75.2,23.02
Dunedin,75,NZ,62,-45.8742,170.5036,60.01,8.01
Faanui,60,PF,62,-16.4833,-151.75,80.65,11.99
Gari,73,RU,95,59.4307,62.3497,26.19,4.07
Kenai,1,US,43,60.5544,-151.2583,28.4,8.05
Necochea,6,AR,76,-38.5473,-58.7368,71.01,4.0
Lorengau,91,PG,72,-2.0226,147.2712,83.68,8.81
Ostrovnoy,100,RU,86,68.0531,39.5131,30.18,18.16
Ilorin,72,NG,66,8.5,4.55,82.29,11.14
Gonzales,75,US,57,30.2385,-90.9201,78.8,8.05
Katangli,70,RU,91,51.7102,143.2326,30.58,4.61
Shingū,20,JP,82,33.7333,135.9833,53.6,11.5
Ucluelet,90,CA,71,48.9329,-125.5528,50.0,10.36
Sur,0,OM,33,22.5667,59.5289,78.33,0.92
Laichow,100,CN,45,37.1717,119.9214,52.09,2.82
Tessalit,0,ML,5,20.1986,1.0114,79.39,7.9
Turukhansk,100,RU,98,65.8167,87.9833,32.59,10.65
Mocuba,26,MZ,84,-16.8392,36.9856,67.51,3.4
Popondetta,98,PG,77,-8.7537,148.2534,82.42,1.61
Kemijärvi,61,FI,93,66.7131,27.4306,30.11,8.81
Port-Gentil,20,GA,94,-0.7193,8.7815,77.0,2.3
Najrān,7,SA,22,17.4924,44.1277,66.2,3.33
Narsaq,75,GL,87,60.9167,-46.05,35.6,1.14
Retalhuleu,75,GT,62,14.5333,-91.6833,89.6,9.22
Anito,89,PH,81,12.4497,125.2886,77.49,10.96
Wanning,42,CN,86,18.8003,110.3967,75.18,7.05
Roscommon,73,IE,86,53.6333,-8.1833,38.77,11.41
Semnan,0,IR,25,35.5729,53.3971,61.05,2.93
Tombouctou,4,ML,8,20.0,-3.0,80.55,8.12
Ketchikan,100,US,86,55.3422,-131.6461,40.05,9.28
Athens,20,GR,47,37.9795,23.7162,59.0,8.23
Hobyo,20,SO,55,5.3505,48.5268,80.49,12.12
Sisimiut,38,GL,80,66.9395,-53.6735,18.95,5.28
Rexburg,90,US,57,43.826,-111.7897,44.6,10.36
Pisco,0,PE,73,-13.7,-76.2167,73.0,25.32
Nishihara,20,JP,60,26.1842,127.7558,68.0,20.71
Asău,96,RO,61,46.4333,26.4,37.0,0.63
Bilma,29,NE,5,18.6853,12.9164,81.37,5.26
Geelong,90,AU,82,-38.1471,144.3607,62.6,9.22
Iskateley,58,RU,86,67.6803,53.1512,32.38,17.25
Fukuechō,29,JP,49,32.6881,128.8419,61.38,17.92
Buin,0,CL,46,-33.7333,-70.75,75.2,5.75
Saraza,100,PH,84,8.7356,117.78,79.07,8.66
Tisovec,0,SK,74,48.6774,19.9436,23.0,8.05
Goderich,92,CA,43,43.7501,-81.7165,69.8,13.8
Bindi,97,SL,74,9.9167,-11.45,78.12,7.45
Pochutla,90,MX,70,15.7432,-96.4661,84.99,9.22
Manokwari,97,ID,78,-0.8667,134.0833,80.02,1.68
Tuatapere,86,NZ,80,-46.1333,167.6833,57.99,10.0
Chapais,1,CA,47,49.7834,-74.8492,53.6,4.61
Cassilândia,91,BR,69,-19.1133,-51.7342,74.23,1.54
Bridlington,83,GB,61,54.0831,-0.1919,34.0,1.99
Amalāpuram,34,IN,88,16.5833,82.0167,73.45,1.52
Laas,0,IT,73,46.6166,10.7002,28.99,5.75
Innisfail,100,AU,88,-17.5333,146.0333,75.0,1.99
Ganzhou,100,CN,93,28.8184,115.4327,57.92,4.5
Coihueco,75,CL,63,-36.6167,-71.8333,64.4,3.44
Honningsvåg,100,NO,88,70.9821,25.9704,32.2,24.27
Yar-Sale,91,RU,93,66.8333,70.8333,14.45,11.23
Auki,100,SB,84,-8.7676,160.7034,78.78,6.96
Feijó,92,BR,97,-8.1642,-70.3536,74.75,1.39
Husavik,0,IS,62,66.0449,-17.3389,15.8,2.3
Qaqortoq,75,GL,87,60.7167,-46.0333,35.6,1.14
Souillac,75,MU,94,-20.5167,57.5167,77.0,3.44
Adrar,31,MR,17,20.5022,-10.0711,79.83,9.64
Anadyr,0,RU,71,64.75,177.4833,-7.01,6.71
Lüderitz,0,NA,77,-26.6481,15.1594,62.37,8.66
Bindura,27,ZW,83,-17.3019,31.3306,60.01,2.66
Tilichiki,100,RU,89,60.4667,166.1,11.26,7.45
Kimbe,100,PG,82,-5.5502,150.1429,81.77,1.72
Constitución,97,CL,84,-35.3333,-72.4167,57.56,5.08
Cairns,100,AU,74,-16.9167,145.7667,81.0,2.3
Dārāb,3,IR,10,28.7519,54.5444,62.26,3.44
Chumphon,98,TH,98,10.3333,98.8333,70.48,1.57
Contamana,96,PE,96,-7.3333,-75.0167,74.79,1.36
Blanquefort,0,FR,52,44.9125,-0.6366,39.2,2.3
Khonsa,6,IN,45,27.0167,95.5667,62.55,4.65
Bambanglipuro,97,ID,89,-7.95,110.2833,76.05,4.5
Willowmore,43,ZA,86,-33.2926,23.4895,54.82,2.68
Shimoda,64,JP,69,34.6667,138.95,55.0,3.0
Luanda,75,AO,83,-8.8368,13.2343,77.0,5.75
Khandagayty,28,RU,45,50.7333,92.05,31.15,7.4
Buta,73,CD,89,2.7858,24.73,72.45,2.19
Pilar,0,BR,83,-9.5972,-35.9567,78.8,5.75
Puri,40,IN,94,19.8,85.85,78.8,6.91
Ajdabiya,2,LY,76,30.7554,20.2263,60.31,11.81
Selfoss,40,IS,84,63.9331,-20.9971,19.0,4.0
Eilat,0,IL,41,29.5581,34.9482,78.8,1.34
Korla,88,CN,29,41.7597,86.1469,52.92,9.15
Reinosa,75,ES,61,42.9996,-4.138,48.2,6.91
Carauari,100,BR,96,-4.8828,-66.8958,74.97,1.34
Bethalto,40,US,44,38.9092,-90.0407,80.01,12.66
Bibiani,82,GH,96,6.4635,-2.3194,73.83,2.53
Bam,0,IR,10,29.106,58.357,65.75,4.92
Kulachi,0,PK,61,31.9286,70.4592,64.98,0.27
Moyale,71,KE,73,3.5167,39.0584,69.93,3.0
Verkhoyansk,52,RU,93,67.5447,133.385,-10.66,3.06
Diffa,6,NE,11,13.3154,12.6113,87.51,7.85
Wanaka,34,NZ,71,-44.7,169.15,61.0,5.01
Buraidah,0,SA,23,26.326,43.975,69.8,8.05
Labuhan,98,ID,87,-6.8844,112.2051,77.5,6.38
Kungurtug,5,RU,86,50.5994,97.5228,21.43,2.1
Złotów,71,PL,83,53.3635,17.0408,33.01,4.0
Iznoski,100,RU,98,54.9881,35.3108,32.83,4.23
Carthage,20,TN,55,36.8611,10.3316,59.0,4.61
Gajendragarh,26,IN,52,15.7333,75.9833,77.4,5.3
Bhindār,0,IN,30,24.5,74.1833,76.96,8.03
Borgarnes,0,IS,59,64.5383,-21.9206,26.6,4.61
Kurchum,59,KZ,81,48.5722,83.6542,36.54,4.63
Hambantota,38,LK,87,6.1241,81.1185,76.87,6.78
Sibolga,72,ID,87,1.7427,98.7792,75.16,3.27
Esim,9,GH,88,4.8699,-2.2405,79.95,4.38
Eucaliptus,69,BO,46,-17.5833,-67.5167,54.95,8.63
Miandrivazo,14,MG,79,-19.5167,45.4667,71.76,0.96
Aklavik,90,CA,55,68.2191,-135.0107,3.2,2.3
Laguna,1,US,35,38.421,-121.4238,78.01,6.91
Magadan,76,RU,86,59.5667,150.8,17.38,2.68
Ust-Nera,95,RU,91,64.5667,143.2,8.28,1.59
Gunjur,0,GM,88,13.2019,-16.7339,71.6,8.05
Itarema,99,BR,78,-2.9248,-39.9167,80.4,12.8
Hammerfest,75,NO,93,70.6634,23.6821,33.8,12.66
Ridgecrest,1,US,9,35.6225,-117.6709,82.4,10.36
Wilmington,1,US,33,34.2257,-77.9447,77.0,11.5
Linxia Chengguanzhen,85,CN,76,35.6003,103.2064,40.86,2.51
Kilindoni,95,TZ,80,-7.9139,39.6668,80.35,14.18
Sayyan,16,YE,19,15.1718,44.3244,54.25,4.38
Caála,60,AO,72,-12.8525,15.5606,61.3,1.81
Rocha,23,UY,95,-34.4833,-54.3333,64.51,6.44
Darovskoy,100,RU,89,58.77,47.9564,33.67,6.78
Ulladulla,40,AU,100,-35.35,150.4667,68.0,3.67
Yumen,6,CN,49,40.2833,97.2,41.56,8.14
Mathbaria,0,BD,78,22.2876,89.9593,75.42,6.08
College,20,US,52,64.8569,-147.8028,12.99,1.7
Grindavik,0,IS,63,63.8424,-22.4338,26.6,1.14
Longhua,56,CN,83,23.6137,114.1919,69.58,1.97
Sept-Îles,90,CA,93,50.2001,-66.3821,50.0,5.75
Davila,20,PH,88,18.4726,120.5763,69.8,1.14
Skibbereen,20,IE,65,51.55,-9.2667,37.4,4.61
Iquique,75,CL,78,-20.2208,-70.1431,69.8,19.57
Tateyama,75,JP,66,34.9833,139.8667,53.01,9.22
Arkhangelsk,20,RU,93,64.5401,40.5433,32.0,6.71
Reconquista,63,AR,89,-29.15,-59.65,68.67,7.14
Porirua,4,NZ,67,-41.1333,174.85,66.99,1.99
Malinovskiy,22,RU,94,61.1953,62.8397,28.72,1.34
Osypenko,100,UA,100,46.9136,36.8253,44.01,11.99
Thabazimbi,77,ZA,84,-24.5917,27.4116,63.48,4.18
Poopó,24,BO,30,-18.3667,-66.9667,52.9,8.1
Aquiraz,0,BR,94,-3.9014,-38.3911,82.4,9.22
Oistins,20,BB,65,13.0667,-59.5333,78.8,11.5
Mīnāb,0,IR,78,27.1467,57.0801,71.6,6.91
Simao,64,CN,96,22.7886,100.9748,52.12,1.77
Tura,49,IN,30,25.5198,90.2201,72.81,5.64
Qusar,38,AZ,74,41.4273,48.4289,40.06,3.49
Babušnica,73,RS,100,43.0597,22.4117,39.0,5.14
Abadiânia,40,BR,88,-16.2042,-48.7069,69.8,2.3
Portland,1,US,33,45.5234,-122.6762,64.99,6.91
Mondolfo,100,IT,92,43.7494,13.0979,44.01,3.0
Çeşme,40,TR,82,38.3228,26.3064,60.8,1.14
Salinas,1,US,59,36.6777,-121.6555,61.0,10.36
Bibbiena,100,IT,78,43.6965,11.8135,39.0,8.88
Amapá,100,BR,98,1.0,-52.0,72.7,2.33
Bogorodskoye,100,RU,98,56.55,37.8833,34.39,4.41
Linguère,0,SN,33,15.3953,-15.1193,89.6,5.37
Kudahuvadhoo,100,MV,59,2.6708,72.8944,84.42,3.04
Galesong,20,ID,94,-5.3166,119.3661,75.2,3.44
Brownwood,1,US,37,31.7093,-98.9912,84.2,21.85
Petropavlovsk-Kamchatskiy,10,RU,64,53.0452,158.6483,28.4,8.95
Ratne,58,UA,83,51.6683,24.5303,29.73,5.86
Christchurch,90,NZ,88,-43.5333,172.6333,61.0,10.36
Fagersta,90,SE,100,60.0042,15.7932,35.6,9.22
Aquin,94,HT,75,18.2833,-73.4,78.46,3.31
Alīganj,60,IN,13,27.5,79.1833,79.12,7.36
Darhan,29,MN,57,49.4867,105.9228,39.67,1.28
Selikhino,85,RU,57,50.3672,137.4996,29.84,13.02
Vardø,75,NO,69,70.3705,31.1107,33.8,25.32
Carndonagh,100,IE,62,55.25,-7.2667,35.56,11.25
Mogadishu,17,SO,73,2.0371,45.3438,81.59,11.9
Januária,100,BR,62,-15.4833,-44.3667,76.98,3.24
Jatai,90,BR,93,-17.8814,-51.7144,69.42,3.36
Teguise,20,ES,68,29.0605,-13.564,64.4,3.44
Aktobe,0,KZ,93,50.2797,57.2072,35.6,4.47
Muli,100,MV,64,2.9167,73.5667,83.17,5.97
Oranjemund,2,NA,92,-28.55,16.4333,59.47,6.73
Zapolyarnyy,90,RU,74,69.4154,30.8136,30.2,14.97
Kapoeta,98,SS,83,4.7717,33.5903,72.07,3.91
Yeppoon,90,AU,83,-23.1333,150.7333,75.2,5.75
San Fernando del Valle de Catamarca,10,AR,82,-28.4696,-65.7852,75.0,8.01
Kodinsk,72,RU,98,58.6881,99.1844,32.86,4.03
Polunochnoye,75,RU,97,60.8697,60.4153,22.08,2.42
Kysyl-Syr,100,RU,95,63.8986,122.7617,-3.32,5.95
Diamantino,95,BR,88,-14.4086,-56.4461,74.95,2.37
Sakakah,0,SA,11,29.9697,40.2064,69.8,16.11
De-Kastri,74,RU,92,51.4667,140.7833,32.65,4.81
Fangshan,0,CN,59,39.6983,115.9925,57.99,8.63
Ulaangom,10,MN,38,49.9811,92.0667,35.11,3.42
Bwanga,97,TZ,93,-3.0308,31.7601,64.92,6.42
Savalou,48,BJ,71,7.9281,1.9756,81.32,8.19
Nikšić,100,ME,98,42.7731,18.9445,44.01,5.99
Mission,75,US,54,26.2159,-98.3253,84.0,24.16
Yerbogachën,100,RU,93,61.2767,108.0108,33.39,5.32
Loukhi,38,RU,84,66.0764,33.0381,29.5,11.5
Yangi Marg`ilon,95,UZ,81,40.4272,71.7189,48.2,6.91
Marzuq,11,YE,41,14.4,46.4667,66.2,1.12
Rossano,90,IT,100,39.5751,16.6349,37.4,21.85
Nome,1,US,48,64.5011,-165.4064,14.0,7.2
Allen,40,US,38,41.0706,-85.0144,75.2,11.5
Eldorado,30,BR,73,-23.7869,-54.2836,69.91,7.11
Quryq,8,KZ,53,43.2,51.65,46.8,8.03
Hamilton,20,US,46,39.1834,-84.5333,77.0,11.5
Laela,100,TZ,98,-8.5667,32.05,59.05,3.49
Colares,75,PT,46,38.7992,-9.4469,60.01,8.01
Olinda,40,BR,73,-8.0089,-34.8553,78.8,11.5
Cabedelo,0,BR,83,-6.9811,-34.8339,78.8,8.05
Badou,25,TG,81,7.5833,0.6,74.64,4.0
Poso,37,ID,75,-1.3959,120.7524,82.99,3.56
Ugoofaaru,80,MV,70,5.6667,73.0,82.72,7.38
Tsabong,81,BW,53,-26.0217,22.401,72.41,7.0
Isangel,20,VU,70,-19.55,169.2667,86.0,13.8
Kuching,20,MY,94,1.55,110.3333,77.0,2.3
Kinshasa,20,CD,83,-4.3246,15.3215,80.6,3.44
Tapes,1,BR,84,-30.6733,-51.3958,72.23,11.77
Kamenka,46,RU,86,51.3223,42.7678,34.0,6.91
